CT#,Station,Picture ID,Date,Date Set,DAY,Time,Date_Corr,Time_Corr,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.
51743,BSLL321,C2516581,25/03/16,23/02/16,32,4:36,25/03/16,4:36,M,Collared Peccary,Pecari tajacu,2,1
51743,BSLL321,D0949783,9/4/2016,23/02/16,47,13:49,9/4/2016,13:49,M,Collared Peccary,Pecari tajacu,11,2
52049,BSLL1011,,14/04/16,28/02/16,47,11:27,14/04/16,11:27,M,Collared Peccary,Pecari tajacu,1,1
52246,BSLL42,B2100230,21/02/00,6/1/2000,47,0:03,13/04/16,9:25,M,Collared Peccary,Pecari tajacu,1,1
52253,BSLL33b,C0731228,7/3/2016,23/02/16,14,8:40,7/3/2016,8:40,M,Collared Peccary,Pecari tajacu,2,1
52496,BSLL34,D0756132,7/4/2016,25/02/16,43,15:35,7/4/2016,15:35,M,Collared Peccary,Pecari tajacu,7,1
52496,BSLL34,D1734285,17/04/16,25/02/16,53,9:31,17/04/16,9:31,M,Collared Peccary,Pecari tajacu,4,1
52496,BSLL34,D1737800,17/04/16,25/02/16,53,10:30,17/04/16,10:30,M,Collared Peccary,Pecari tajacu,108,5
DTL03,BSLL46,cyd00033,9/3/2016,26/02/16,13,19:59,9/3/2016,19:59,M,Collared Peccary,Pecari tajacu,9,1
DTL04,BSLL43,18,29/03/16,27/02/16,32,6:11,29/03/16,6:11,M,Collared Peccary,Pecari tajacu,3,1
DTL04,BSLL43,22,3/4/2016,27/02/16,37,17:32,3/4/2016,17:32,M,Collared Peccary,Pecari tajacu,3,1
DTL04,BSLL43,26,18/04/16,27/02/16,52,1:12,18/04/16,1:12,M,Collared Peccary,Pecari tajacu,1,1
DTL04,BSLL43,27,18/04/16,27/02/16,52,2:49,18/04/16,2:49,M,Collared Peccary,Pecari tajacu,1,1
DTL04,BSLL43,28,18/04/16,27/02/16,52,6:45,18/04/16,6:45,M,Collared Peccary,Pecari tajacu,6,4
DTL04,BSLL43,34,18/04/16,27/02/16,52,7:25,18/04/16,7:25,M,Collared Peccary,Pecari tajacu,1,1
DTL05,BSLL302,Cdy00032,8/3/2016,28/02/16,10,8:26,8/3/2016,8:26,M,Collared Peccary,Pecari tajacu,2,1
DTL05,BSLL302,Cdy00036,9/3/2016,28/02/16,11,6:35,9/3/2016,6:35,M,Collared Peccary,Pecari tajacu,2,1
DTL05,BSLL302,Cdy00038,10/3/2016,28/02/16,12,15:08,10/3/2016,15:08,M,Collared Peccary,Pecari tajacu,1,1
DTL05,BSLL302,Cdy00039,11/3/2016,28/02/16,13,7:25,11/3/2016,7:25,M,Collared Peccary,Pecari tajacu,2,1
DTL05,BSLL302,Cdy00045,26/03/16,28/02/16,28,17:38,26/03/16,17:38,M,Collared Peccary,Pecari tajacu,1,3
DTL07,BSLL14,Cdy00041,16/02/16,21/02/16,25,16:54,16/03/16,16:54,M,Collared Peccary,Pecari tajacu,1,1
DTL07,BSLL14,Cdy00060,15/03/16,21/02/16,55,9:26,15/04/16,9:26,M,Collared Peccary,Pecari tajacu,2,1
51694,BSLL24,C1134598,11/3/2016,24/02/16,16,9:36,11/3/2016,9:36,M,Giant Anteater,Myrmecophaga tridactyla,1,1
52327,BSLL12B,D0956909,9/4/2016,20/02/16,50,15:48,9/4/2016,15:48,M,Giant Anteater,Myrmecophaga tridactyla,2,1
51619,BSLL15,B2784529,27/02/16,22/02/16,5,23:28,27/02/16,23:28,M,Giant Armadillo,Priodontes maximus,1,1
DTL05,BSLL302,Cdy00050,7/4/2016,28/02/16,40,5:11,7/4/2016,5:11,M,Giant Armadillo,Priodontes maximus,1,1
51743,BSLL321,C2963238,29/03/16,23/02/16,36,17:33,29/03/16,17:33,M,Jaguar,Panthera onca,1,1
52328,BSLL10,C0722154,7/3/2016,23/02/16,14,6:09,7/3/2016,6:09,M,Jaguar,Panthera onca,1,1
52328,BSLL10,C0725017,7/3/2016,23/02/16,14,6:56,7/3/2016,6:56,M,Jaguar,Panthera onca,1,1
52328,BSLL10,D0515545,5/4/2016,23/02/16,43,4:19,5/4/2016,4:19,M,Jaguar,Panthera onca,1,1
