id_station,id_pic,date_dayno,name_order,name_com,name_sci,name_code,count_pic,count_ind
BSLL302,Cdy00036,11,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
BSLL302,Cdy00038,12,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL302,Cdy00039,13,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
BSLL302,Cdy00045,28,M,Collared Peccary,Pecari tajacu,PECTAJ,1,3
BSLL14,Cdy00041,25,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL14,Cdy00060,55,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
BSLL24,C1134598,16,M,Giant Anteater,Myrmecophaga tridactyla,MYRTRI,1,1
BSLL12B,D0956909,50,M,Giant Anteater,Myrmecophaga tridactyla,MYRTRI,2,1
BSLL15,B2784529,5,M,Giant Armadillo,Priodontes maximus,PRIMAX,1,1
BSLL302,Cdy00050,40,M,Giant Armadillo,Priodontes maximus,PRIMAX,1,1
BSLL321,C2963238,36,M,Jaguar,Panthera onca,PANONC,1,1
BSLL10,C0722154,14,M,Jaguar,Panthera onca,PANONC,1,1
BSLL10,C0725017,14,M,Jaguar,Panthera onca,PANONC,1,1
BSLL10,D0515545,43,M,Jaguar,Panthera onca,PANONC,1,1
BSLL11,B0442916,27,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,B0781741,29,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,B1059191,31,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,B1244678,32,M,Labba,Cuniculus paca,CUNPAC,2,2
BSLL11,B1265004,31,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,B2374323,40,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,C0861124,49,M,Labba,Cuniculus paca,CUNPAC,2,1
BSLL11,C1050138,49,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,C1050138,49,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,C1656449,53,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,C1656449,52,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL11,C1753070,52,M,Labba,Cuniculus paca,CUNPAC,1,2
BSLL11,C2577716,59,M,Labba,Cuniculus paca,CUNPAC,1,1
BSLL21,C1108867,16,M,Labba,Cuniculus paca,CUNPAC,1,1
