Camera #,Station ID,Date Started,Date Captured,Day,Time,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.,Comments
32,CT3C,20/09/2014,26/10/2014,37,2:44,M,Lowland Paca,Cuniculus paca,2,1,The rump of the animal apears to have a number a ticks.
32,CT3C,20/09/2014,27/10/2014,38,13:36,B,Grey-winged trumpeter,Psophia crepitans,2,4,
32,CT3C,20/09/2014,27/10/2014,38,14:56,M,Collared Peccary,Pecari tajacu,3,1,A collared peccary appears to be cicrling the palm in the center of the photograph.
32,CT3C,20/09/2014,11/11/2014,53,0:31,M,Tapir,Tapirus terrestris,1,1,
34,CT5O,23/09/2014,13/10/2014,21,17:53,M,Red Brocket deer,Mazama americana,1,1,"Right side, bruises on neck, left ankle"
34,CT5O,23/09/2014,27/10/2014,35,2:42,M,Red Brocket deer,Mazama americana,1,1,"Right side, same as CDY_0003"
34,CT5O,23/09/2014,28/10/2014,36,6:34,M,Grey Brocket deer,Mazama nemorivaga,1,1,"Left side, lower body"
34,CT5O,23/09/2014,03/11/2014,42,6:16,M,Collared Peccary,Pecari tajacu,1,1,Left side of body
37,CT1E,18/09/2014,29/09/2014,12,13:46,B,Grey-winged trumpeter,Psophia crepitans,2,2,Appears to be flocking around the camera
37,CT1E,18/09/2014,15/10/2014,28,12:49,B,Black Curassow,Crax alector,3,1,Just standing in front of the camera
39,CT1B,18/09/2014,21/09/2014,4,12:11,M,Agouti,Dasyprocta leporina,1,1,Appears to be running
39,CT1B,18/09/2014,27/09/2014,10,18:32,M,Lowland Paca,Cuniculus paca,1,1,Appears to be running
39,CT1B,18/09/2014,01/10/2014,14,17:06,M,Agouti,Dasyprocta leporina,1,1,"Appears to be running,scar on left side face"
39,CT1B,18/09/2014,02/10/2014,15,2:55,M,Lowland Paca,Cuniculus paca,1,1,Appears to be walking
39,CT1B,18/09/2014,05/10/2014,18,8:09,M,Collared Peccary,Pecari tajacu,1,1,Appears to be walking
39,CT1B,18/09/2014,05/10/2014,18,23:10,M,Lowland Paca,Cuniculus paca,1,1,Appears to be walking
39,CT1B,18/09/2014,08/10/2014,21,5:31,M,Agouti,Dasyprocta leporina,3,1,"Appears to be running,scar on left side face"
39,CT1B,18/09/2014,11/10/2014,24,5:44,M,Agouti,Dasyprocta leporina,1,1,Appears to be walking
39,CT1B,18/09/2014,11/10/2014,24,18:32,M,Lowland Paca,Cuniculus paca,1,1,Appears to be walking
39,CT1B,18/09/2014,11/10/2014,24,21:58,M,Lowland Paca,Cuniculus paca,1,1,Appears to be walking
39,CT1B,18/09/2014,15/10/2014,28,5:32,M,Agouti,Dasyprocta leporina,1,1,"Appears to be walking, scar on left side face"
39,CT1B,18/09/2014,15/10/2014,28,9:27,B,Grey-winged trumpeter,Psophia crepitans,2,2,Just standing
39,CT1B,18/09/2014,15/10/2014,28,19:08,M,Red Brocket deer,Mazama americana,1,1,Only rear end is visible
39,CT1B,18/09/2014,15/10/2014,28,19:26,M,Armadillo,Dasypus sp.,1,1,Appears to be foraging
39,CT1B,18/09/2014,18/10/2014,31,19:15,M,Red Brocket deer,Mazama americana,2,1,Appears to be walking
39,CT1B,18/09/2014,07/11/2014,51,6:52,M,Agouti,Dasyprocta leporina,1,1,Appears to be walking
39,CT1B,18/09/2014,08/11/2014,52,8:28,M,Collared Peccary,Pecari tajacu,1,1,"Appears to be walking, male"
40,CT4A,21/09/2014,23/09/2014,3,8:09,B,Grey-winged trumpeter,Psophia crepitans ,1,2,Left side of body
40,CT4A,21/09/2014,25/09/2014,5,17:02,M,Agouti,Dasyprocta leporina,1,1,"Right side of body, large swelling on right forelegs"
40,CT4A,21/09/2014,29/09/2014,9,2:53,M,Ocelot,Leopardus pardalis,1,1,Right side of body
40,CT4A,21/09/2014,08/10/2014,18,10:54,M,Agouti,Dasyprocta leporina,1,1,Right side of body
40,CT4A,21/09/2014,23/10/2014,33,10:28,M,Jaguar,Panthera onca,1,1,Right side of body. Juvenile
40,CT4A,21/09/2014,25/10/2014,35,13:06,B,Grey-winged trumpeter,Psophia crepitans ,1,1,Head region
40,CT4A,21/09/2014,26/10/2014,36,21:29,M,Lowland Paca,Cuniculus paca,1,1,Right-frontal region
40,CT4A,21/09/2014,30/10/2014,40,8:57,M,Collared Peccary,Pecari tajacu,1,1,Left side of body
40,CT4A,21/09/2014,02/11/2014,43,3:28,M,Red Brocket deer,Mazama americana,1,1,"Right side of body, bruise on lower right leg"
43,CT4B,21/09/2014,01/10/2014,11,17:08,M,Puma,Puma concolor,1,1,appears to be a puma.. Review
43,CT4B,21/09/2014,08/10/2014,18,9:24,M,Collared Peccary,Pecari tajacu,1,1,
43,CT4B,21/09/2014,09/10/2014,19,9:17,M,Agouti,Dasyprocta leporina,1,1,The animal is is walking passed the camera.
43,CT4B,21/09/2014,12/10/2014,22,15:30,M,Agouti,Dasyprocta leporina,1,1,
43,CT4B,21/09/2014,01/11/2014,42,13:13,M,Collared Peccary,Pecari tajacu,1,1,Solitary individual walking passed the camera.
43,CT4B,21/09/2014,02/11/2014,43,8:18,B,Black Curassow,Crax alector,2,1,
43,CT4B,21/09/2014,05/11/2014,46,11:55,B,Grey-winged trumpeter,Psophia crepitans,2,2,
43,CT4B,21/09/2014,07/11/2014,48,11:27,M,Collared Peccary,Pecari tajacu,1,1,The photograph is exceptionally dark for the time at which it was recorded. 
46,CT6N,24/09/2014,31/10/2014,38,6:25,M,Agouti,Dasyprocta leporina,1,1,"The right side of the animal has a few clear patches of skin, possibly from old wounds"
46,CT6N,24/09/2014,31/10/2014,38,15:04,M,Tayra,Eira barbara,1,1,Animal is hurriedly going passed the camera.
47,CT5A,22/09/2014,04/10/2014,13,8:48,M,Giant Anteater,Myrmecophaga tridactyla,1,1,Head region 
47,CT5A,22/09/2014,22/10/2014,31,20:49,M,Red Brocket deer,Mazama americana,1,1,Left posterior region pictured
47,CT5A,22/09/2014,25/10/2014,34,6:17,B,Grey-winged trumpeter,Psophia crepitans ,1,1,Left region of body
47,CT5A,22/09/2014,04/11/2014,44,1:20,M,Red Brocket deer,Mazama americana,1,1,Left side of body
47,CT5A,22/09/2014,10/11/2014,50,4:07,M,Red Brocket deer,Mazama americana,1,1,"Right side of body, bruise on left hind leg"
49,CT1N,24/09/2014,25/09/2014,2,5:05,M,Red Brocket deer,Mazama americana,2,1,Bruise on right side of neck
49,CT1N,24/09/2014,01/10/2014,8,9:06,M,Tapir,Tapirus terrestris,2,1,Head region
49,CT1N,24/09/2014,01/10/2014,8,11:20,M,Collared Peccary,Pecari tajacu,11,2,Peccary sniffing around
49,CT1N,24/09/2014,20/10/2014,27,6:30,M,Collared Peccary,Pecari tajacu,2,3,Sniffing around
49,CT1N,24/09/2014,30/10/2014,37,10:47,B,Black Curassow,Crax alector,3,1,Left and right region of head
49,CT1N,24/09/2014,01/11/2014,39,19:25,M,Red Brocket deer,Mazama americana,1,1,"Right, frontal region, deer sniffing around"
50,CT1Z,18/09/2014,21/09/2014,4,8:40,M,Collared Peccary,Pecari tajacu,1,1,
50,CT1Z,18/09/2014,21/09/2014,4,11:19,M,Collared Peccary,Pecari tajacu,2,1,Animal in each case is passing the area described above.
50,CT1Z,18/09/2014,23/09/2014,6,14:11,M,Collared Peccary,Pecari tajacu,2,2,One animal is seen walking passed the camera while another is seen foraging
50,CT1Z,18/09/2014,24/09/2014,7,8:58,M,Collared Peccary,Pecari tajacu,2,2,Two animals are seen foraging in the lightly excavated area.
50,CT1Z,18/09/2014,29/09/2014,12,8:05,M,Collared Peccary,Pecari tajacu,3,2,
50,CT1Z,18/09/2014,10/10/2014,23,13:08,M,Agouti,Dasyprocta leporina,1,1,Animal is walking passed and apparently sniffing the area in front of the camera.
