id_ct,id_station,date_set,date_capt,date_dayno,time,name_order,name_com,name_sci,name_code,count_pic,count_ind,comments
13,CT1R,2014-09-24T00:00:00Z,2014-10-14T00:00:00Z,21,05:21:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be walking
13,CT1R,2014-09-24T00:00:00Z,2014-10-14T00:00:00Z,21,11:47:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be running
13,CT1R,2014-09-24T00:00:00Z,2014-10-16T00:00:00Z,23,05:01:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be a female walking
13,CT1R,2014-09-24T00:00:00Z,2014-10-18T00:00:00Z,25,14:43:00,B,Grey-winged trumpeter,Psophia crepitans,PSOCRE,1,4,Appear to just be standing
13,CT1R,2014-09-24T00:00:00Z,2014-10-19T00:00:00Z,26,08:37:00,M,Agouti,Dasyprocta leporina,DASLEP,2,1,Appears to be walking
13,CT1R,2014-09-24T00:00:00Z,2014-10-21T00:00:00Z,28,05:12:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be an injured female walking
13,CT1R,2014-09-24T00:00:00Z,2014-10-24T00:00:00Z,31,17:23:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be injured at the mouth and walking
13,CT1R,2014-09-24T00:00:00Z,2014-10-28T00:00:00Z,35,17:56:00,M,Acouchi,Myoprocta acouchy,MYOACO,1,1,Appears to be injured at the mouth and walking
13,CT1R,2014-09-24T00:00:00Z,2014-10-31T00:00:00Z,38,07:03:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Appears to be standing and looking into the camera
14,CT5Z,2014-09-22T00:00:00Z,2014-09-22T00:00:00Z,1,21:18:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,"Left side, sniffing around"
14,CT5Z,2014-09-22T00:00:00Z,2014-10-18T00:00:00Z,27,12:17:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Right side of body, Maybe margay"
14,CT5Z,2014-09-22T00:00:00Z,2014-10-23T00:00:00Z,32,08:03:00,M,Collared Peccary,Pecari tajacu,PECTAJ,4,1,"Female, sniffing around"
14,CT5Z,2014-09-22T00:00:00Z,2014-11-03T00:00:00Z,43,11:34:00,B,Black Curassow,Crax alector,CRAALE,1,1,Left side of body
