CT#,Station,Picture ID,Date,Date Set,DAY,Time,Date_Corr,Time_Corr,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.
51694,BSLL24,C1636648,16/03/2016,24/02/2016,21,10:10,16/03/2016,10:10,M,Collared Peccary,Pecari tajacu,1,1
51694,BSLL24,C1636648,26/03/2016,24/02/2016,31,10:04,26/03/2016,10:04,M,Collared Peccary,Pecari tajacu,1,1
51471,BSLL25,D2306990,23/04/2001,22/02/2016,7,01:56,29/02/2016,23:17,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,D2727586,27/04/2001,24/02/2016,9,07:39,04/03/2016,05:00,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,E0106894,01/05/2001,26/02/2016,11,01:54,08/03/2016,23:15,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,E0421758,04/05/2001,27/02/2016,13,06:02,11/03/2016,03:23,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,F0213937,02/06/2001,12/03/2016,28,03:52,09/04/2016,01:13,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,E2579628,25/05/2001,05/03/2016,27,22:07,01/04/2016,19:28,M,Margay,Leopardus wiedii,1,1
51471,BSLL25,E2583787,25/05/2001,06/03/2016,26,23:16,01/04/2016,20:37,M,Margay,Leopardus wiedii,1,1
51471,BSLL25,E0635853,06/05/2001,28/02/2016,14,09:57,13/03/2016,07:18,M,Bush deer,Mazama sp.,2,1
51471,BSLL25,E2439080,24/05/2001,04/03/2016,27,10:51,31/03/2016,08:12,M,Bush deer,Mazama sp.,3,1
51471,BSLL25,E2743559,27/05/2001,08/03/2016,26,12:05,03/04/2016,09:26,M,Puma,Puma concolor,2,1
51471,BSLL25,E1629901,16/05/2001,02/03/2016,21,08:18,23/03/2016,05:39,M,Tapir,Tapirus terrestris,3,1
51471,BSLL25,E0730557,07/05/2001,29/02/2016,14,08:29,14/03/2016,05:50,M,White-lipped peccary,Tayassu pecari,1,1
51661,BSLL26,C0451786,04/03/2016,22/02/2016,11,14:23,04/03/2016,14:23,M,Agouti,Dasyprocta leporina,2,1
51661,BSLL26,B2678298,26/02/2016,22/02/2016,4,21:44,26/02/2016,21:44,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C0220402,02/03/2016,22/02/2016,9,05:40,02/03/2016,05:40,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C0382177,03/03/2016,22/02/2016,10,22:49,03/03/2016,22:49,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C0421146,04/03/2016,22/02/2016,11,05:52,04/03/2016,05:52,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C1302230,13/03/2016,22/02/2016,20,00:37,13/03/2016,00:37,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C1508278,15/03/2016,22/02/2016,22,02:17,15/03/2016,02:17,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,B2914180,29/02/2016,22/02/2016,7,03:56,29/02/2016,03:56,M,Bush deer,Mazama sp.,3,1
51661,BSLL26,C0829042,08/03/2016,22/02/2016,15,08:04,08/03/2016,08:04,M,Bush deer,Mazama sp.,1,1
51661,BSLL26,C1356090,13/03/2016,22/02/2016,20,15:34,13/03/2016,15:34,M,Bush deer,Mazama sp.,1,1
51661,BSLL26,C1425880,14/03/2016,22/02/2016,21,07:11,14/03/2016,07:11,M,Bush deer,Mazama sp.,1,1
51661,BSLL26,C0371994,03/03/2016,22/02/2016,10,19:59,03/03/2016,19:59,M,Tapir,Tapirus terrestris,4,1
DTL05,BSLL302,Cdy00046,03/04/2016,28/02/2016,36,06:41,03/04/2016,06:41,M,Agouti,Dasyprocta leporina,3,1
DTL05,BSLL302,Cdy00047,03/04/2016,28/02/2016,36,12:33,03/04/2016,12:33,M,Agouti,Dasyprocta leporina,1,1
DTL05,BSLL302,Cdy00051,10/04/2016,28/02/2016,43,09:36,10/04/2016,09:36,M,Agouti,Dasyprocta leporina,1,2
DTL05,BSLL302,Cdy00032,08/03/2016,28/02/2016,10,08:26,08/03/2016,08:26,M,Collared Peccary,Pecari tajacu,2,1
DTL05,BSLL302,Cdy00036,09/03/2016,28/02/2016,11,06:35,09/03/2016,06:35,M,Collared Peccary,Pecari tajacu,2,1
DTL05,BSLL302,Cdy00038,10/03/2016,28/02/2016,12,15:08,10/03/2016,15:08,M,Collared Peccary,Pecari tajacu,1,1
DTL05,BSLL302,Cdy00039,11/03/2016,28/02/2016,13,07:25,11/03/2016,07:25,M,Collared Peccary,Pecari tajacu,2,1
DTL05,BSLL302,Cdy00045,26/03/2016,28/02/2016,28,17:38,26/03/2016,17:38,M,Collared Peccary,Pecari tajacu,1,3
DTL05,BSLL302,Cdy00050,07/04/2016,28/02/2016,40,05:11,07/04/2016,05:11,M,Giant Armadillo,Priodontes maximus,1,1
DD3,BSLL311,PICT0092,26/02/2016,24/02/2016,3,01:00,26/02/2016,01:00,M,Savannah Fox,Cerdocyon thous,6,1
DD3,BSLL311,PICT0100,27/02/2016,24/02/2016,4,05:13,27/02/2016,05:13,M,Savannah Fox,Cerdocyon thous,3,1
DD3,BSLL311,PICT0190,07/03/2016,24/02/2016,13,06:33,07/03/2016,06:33,M,Savannah Fox,Cerdocyon thous,3,1
DD3,BSLL311,PICT0415,05/04/2016,24/02/2016,42,02:13,05/04/2016,02:13,M,Labba,Cuniculus paca,3,1
DD3,BSLL311,PICT0127,01/03/2016,24/02/2016,7,13:33,01/03/2016,13:33,M,Agouti,Dasyprocta leporina,3,1
DD3,BSLL311,PICT0124,01/03/2016,24/02/2016,7,04:11,01/03/2016,04:11,M,Ocelot,Leopardus pardalis,3,1
